>>> 24: Естественных и гуманитарных наук (Филиал ВГИ)
4858: И-111
4859: ЛА-111
4439: МИ-101
4087: ПЗ-091
4443: Пз-101
4864: ПЗ-111
4857: ПМФ-111
4860: ПР-111
4098: ПС-091
4444: П2-101
4433: ФА-101
4442: ФА-281
4438: ФА-291
>>> 11: Физико-технический (ВолГУ)
5999: АФм-141 
5173: ЛТб-121
5517: ЛТб-131
5991: ЛТб-141
5169: РТб-121
5518: РТб-131
5992: РТб-141
5994: РТРм-141
5995: РФИм-141
5996: РФЭм-141
5170: Фб-121
5520: Фб-131
5993: Фб-141
5998: ФИПм-141
5997: ФКСм-141
>>> 13: Истории, международных отношений и социальных технологий (ВолГУ)
6014: ЗРАм-141
5586: ЗРА-131
6005: ЗРА-141
6015: ЗРЕм-141
5585: ЗРЕ-131
6006: ЗРЕ-141
6010: ИАм-141
5025: Иб-121
5587: Иб-131
6001: Иб-141
6011: ИВм-141
6561: ИКм-141
6009: ИРм-141
5026: МОб-121
5590: МОб-131
6000: МОб-141
5027: ОРМб-121
5591: ОРМб-131
5028: ПЛб-121
5589: ПЛб-131
6002: ПЛб-141
6012: ПЛм-141
5067: РГб-121
5068: РГб-122
5085: Сб-121
5086: Сб-122
5515: Сб-131
5516: Сб-132
5978: Сб-141
5985: СЗ-141
5029: СРб-121
5588: СРб-131
6003: СРб-141
5705: СРЗс-131
4314: СРЗ-101
5056: СРЗ-121
5706: СРЗ-131
6008: СРЗ-141
6013: СРЭм-141
6221: ССИм-141
6220: СЭСм-141
5030: Тб-121
5592: Тб-131
6004: Тб-141
6007: ТЗ-141
>>> 27: Социально-гуманитарных и экономических наук (Урюпинский филиал)
4556: МТЗУ-091
4555: МТЗУ-101
4549: МТУ-102
4583: ФЗУ-091
4542: ФиКЗУ-091
4541: ФиКЗУ-101
4532: ФиКУ-101
4595: ЮЗУ-091
4594: ЮЗУ-101
4588: ЮУ-102
>>> 15: Управления и региональной экономики (ВолГУ)
6263: БИзф-111
6264: БИзф-121
6265: БИзф-131
5934: БИм-141
5035: БИ-121
5036: БИ-122
5535: БИ-131
5536: БИ-132
5686: ГМУзу-131
6042: ГМУзу-141
5265: ГМУз-121
5685: ГМУз-131
5033: ГМУ-121
5034: ГМУ-122
5530: ГМУ-131
5531: ГМУ-132
5925: ГМУ-141
5926: ГМУ-142
6262: МТбзф-111
6261: МТбзф-121
6260: МТбзф-131
5688: МТзc-131
5269: МТзу-121
5725: МТзу-131
6267: МТзф-101
4264: МТЗ-101
5267: МТз-121
5687: МТз-131
6043: МТз-141
5929: МТмг-141
6046: МТмоз-141
5928: МТмо-141
6501: МТУ-121
6322: МТ-101
5031: МТ-121
5032: МТ-122
5529: МТ-131
5927: МТ-141
5935: ПИм-141
5037: РСО-121
5532: РСО-131
5931: РСО-141
5691: ТДзc-131
5270: ТДз-121
5690: ТДз-131
6045: ТДз-141
5038: ТД-121
5533: ТД-131
5930: ТД-141
5689: УПз-131
6044: УПз-141
5933: УПм-141
5039: УП-121
5534: УП-131
5932: УП-141
4322: ЭУП-101
>>> 14: Филологии и межкультурной коммуникации (ВолГУ)
5094: АН-122
5095: АН-123
6081: АН-132
6082: АН-133
6080: АН-134
5966: АН-142
6061: АН-143
5093: АФ-121
6083: АФ-131
5965: АФ-141
4210: ДЗ-101
5105: Дз-121
5099: Д-121
5558: Д-131
4212: ЖЗ-101
5107: Жз-121
5556: Жз-131
6180: Жз-141
5973: Жм-141
5100: Ж-121
5555: Ж-131
5971: Ж-141
5101: ИД-121
4213: ЛТЗ-101
4753: Лтз-111
5096: НА-121
5549: Н-131
5967: Н-141
5976: ППма-141
5975: ППмн-141
5977: ППмф-141
5102: Р-121
5554: Р-131
5972: Р-141
6060: Том-141
5097: ФА-121
5103: ФиПЛ-121
5104: ФиПЛ-122
5551: ФиПЛ-131
5552: ФиПЛ-132
5553: ФиПЛ-133
5969: ФиПЛ-141
5970: ФиПЛ-142
5974: ФРЯм-141
5550: Ф-131
5968: Ф-141
>>> 25: Юридический (ВГИ) (Филиал ВГИ)4869: ЮЗ-111
4866: ЮмГ-111
4867: ЮмП-111
4868: ЮмУ-111
4142: Ю-091
4865: Ю-111
>>> 26: Экономический (Филиал ВГИ)
4641: ГМУЗ-091
4453: ГМУЗ-101
4880: МГ-111
4877: МЗ-111
4667: МЛ-101
4881: МЛ-111
4662: МС-101
4882: МФ-111
4448: МЭ-101
4872: М-111
4639: ФКЗ-091
4637: ФКЗ-101
4452: ФК-101
4668: ФМ-101
4876: ЭЗ-111
4879: ЭУ-111
4640: ЭФЗ-091
4449: ЭФЗ-101
4638: ЭФЗ-101
4874: Э-111
4875: Э-112
>>> 41: Естественных наук (ВолГУ)
5132: Бб-121
5565: Бб-131
6121: Бб-141
5137: БИБ-121
5745: БИБ-131
6066: БИБ-141
6127: Бм-141
5133: Гб-121
5566: Гб-131
6122: Гб-141
6128: Гм-141
5174: ИНб-121
5646: ИНб-131
6125: КГб-141
5134: ПСб-121
5567: ПСб-131
6120: ПСб-141
4369: ПСЗ-101
5136: ПСз-121
6129: ПСм-141
5570: ПСоз-131
6140: ПСоз-141
6123: ЭПба-141
6124: ЭПбп-141
5135: ЭПб-121
5568: ЭПб-131
6126: ЭПм-141
>>> 61: Приоритетных технологий (ВолГУ)
5166: ИБб-121
5625: ИБб-131
6069: ИБб-141
4797: ИБС-111
5165: ИБС-121
5666: ИБС-131
6065: ИБС-141
6068: ИНб-141
6067: ИНм-141
5167: ИТСб-121
5647: ИТСб-131
6062: ИТСб-141
6070: ИТСм-141
5168: НИб-121
5668: НИб-131
6064: НИб-141
4798: СЭ-111
5171: СЭ-121
5172: СЭ-122
5669: СЭ-131
